species,conservation_status,growth_rate,dispersal_ability,biomass,sensitivity_disturbance,interation_pollinator
Symphytum_officinale,1,0.06,0.333333333,0.031575435,0.2,0.012678446
Symphytum_tuberosum,1,0.08,0.333333333,0.009695175,0.2,0.033631004
Tamus_communis,1,0.08,0.833333333,0.243453675,0.2,0
Tanacetum_corymbosum,2,0.06,0.166666667,0.046167629,0.4,0.033442999
Tanacetum_vulgare,1,0.06,0.166666667,0.059579456,0.2,0.038132307
Taraxacum_dissectum,4,0.06,0.333333333,0.006403288,0.8,0.013094075
Taraxacum_schroeterianum,2,0.06,0.666666667,0.005443613,0.4,0.013052828
Taxus_baccata,1,0.015,0.833333333,0.778930711,0.2,0.001715266
Telephium_imperati,2,0.08,0.01,0.001045317,0.4,0
Tephroseris_capitata,3,0.06,0.666666667,0.032504675,0.6,0.001519907
Tephroseris_helenitis,4,0.06,0.333333333,0.019490783,0.8,0.001539418
Tephroseris_integrifolia,3,0.06,0.666666667,0.011559675,0.6,0.001512717
Teucrium_botrys,3,0.23,0.01,0.004990749,0.6,0.034779911
Teucrium_chamaedrys,1,0.015,0.833333333,0.00319357,0.2,0.029614791
Teucrium_montanum,1,0.015,0.833333333,0.001543835,0.2,0.034779911
Teucrium_scordium,4,0.06,0.01,0.010301155,0.8,0.034779911
Teucrium_scorodonia,1,0.08,0.5,0.013559401,0.2,0.027671515
Thalictrum_alpinum,2,0.06,0.166666667,0.000846225,0.4,0.001832193
Thalictrum_aquilegiifolium,1,0.06,0.333333333,0.0431531,0.2,0.147722993
Thalictrum_flavum,3,0.06,0.166666667,0.056446156,0.6,0.002086396
Thalictrum_foetidum,1,0.06,0.166666667,0.010301155,0.2,0.001832193
Thalictrum_minus,1,0.06,0.166666667,0.038224666,0.2,0.009438661
Thalictrum_minus_minus,1,0.06,0.166666667,0.038224666,0.2,0.027457438
Thalictrum_simplex,4,0.06,0.166666667,0.029739985,0.8,0.001832193
Thesium_alpinum,1,0.06,0.833333333,0.004556192,0.2,0.046312178
Thesium_bavarum,2,0.08,0.333333333,0.009105105,0.4,0.046312178
Thesium_linophyllon,3,0.08,0.333333333,0.012211624,0.6,0.046312178
Thesium_pyrenaicum,1,0.06,0.333333333,0.003742932,0.2,0.046312178
Thesium_rostratum,4,0.08,0.333333333,0.005443613,0.8,0.046312178
Thlaspi_arvense,1,0.23,0.833333333,0.010922753,0.2,0.001507017
Thlaspi_brachypetalum,2,0.08,1,0.003364672,0.4,0.001507017
Thlaspi_caerulescens,2,0.08,0.166666667,0.003364672,0.4,0.00154371
Thlaspi_montanum,2,0.08,0.166666667,0.019490783,0.4,0.001507017
Thlaspi_perfoliatum,1,0.23,0.333333333,0.003364672,0.2,0.001507017
Thlaspi_rotundifolium,1,0.08,0.01,0.019490783,0.2,0.001507017
Thlaspi_rotundifolium_corymbosum,1,0.08,0.166666667,0.003364672,0.2,0.001513133
Thlaspi_rotundifolium_rotundifolium,1,0.08,0.01,0.003364672,0.2,0.001513133
Thymus_alpestris,1,0.08,0.01,0.000510062,0.2,0.03357878
Thymus_longicaulis,2,0.08,0.01,0.000100786,0.4,0.03357878
Thymus_praecox,1,0.08,0.166666667,0.000667772,0,0.118311313
Thymus_praecox_polytrichus,1,0.08,0.166666667,0.000667772,0,0.051511703
Thymus_pulegioides,1,0.08,0.833333333,0.00300561,0,0.020577939
Thymus_pulegioides_carniolicus,1,0.08,0.833333333,0.003742932,0,0.051511703
Tilia_cordata,1,0.015,0.5,0.849777147,0.2,0.030246651
Tilia_platyphyllos,1,0.015,0.5,0.935022039,0.2,0.008209742
Tilia_platyphyllos_platyphyllos,1,0.015,0.5,0.935022039,0.2,0.019228197
Tofieldia_calyculata,1,0.06,0.01,0.004556192,0.2,0.003436426
Tofieldia_pusilla,2,0.06,0.01,0.000510062,0.4,0.251388889
Torilis_arvensis,2,0.23,0.833333333,0.031575435,0.4,0.013762232
Torilis_japonica,1,0.08,0.833333333,0.036292185,0.2,0.056594233
Tozzia_alpina,1,0.08,0.333333333,0.008531231,0.2,0.028485686
Tragopogon_dubius,1,0.08,1,0.023586988,0.2,0.004302615
Tragopogon_pratensis,1,0.08,1,0.029739985,0.2,0.001929167
Tragopogon_pratensis_minor,1,0.08,1,0.029739985,0.2,0.003115891
Tragopogon_pratensis_orientalis,1,0.08,1,0.029739985,0.2,0.003115891
Tragopogon_pratensis_pratensis,1,0.08,1,0.029739985,0.2,0.003115891
Tragus_racemosus,1,0.23,0.833333333,0.003742932,0.2,0.072145923
Traunsteinera_globosa,1,0.08,0.666666667,0.017170589,0.2,0.089024336
Trichophorum_alpinum,2,0.08,0.666666667,0.003364672,0.4,0.004722622
Trichophorum_cespitosum,1,0.06,0.01,0.005443613,0.2,0.004722622
Trichophorum_cespitosum_cespitosum,1,0.06,0.01,0.005443613,0,0.004722622
Trichophorum_pumilum,2,0.06,0.01,0.000846225,0.4,0.004722622
Trientalis_europaea,3,0.08,0.01,0.001765199,0.6,0.055101136
Trifolium_alpestre,2,0.06,0.333333333,0.007973837,0.4,0.011131555
Trifolium_alpinum,1,0.06,0.333333333,0.001045317,0.2,0.009778831
Trifolium_arvense,1,0.23,0.333333333,0.003742932,0.2,0.013273378
Trifolium_aureum,2,0.23,0.333333333,0.010301155,0.4,0.009728665
Trifolium_badium,1,0.06,0.833333333,0.002665945,0.2,0.009778831
Trifolium_campestre,2,0.23,1,0.003364672,0.4,0.009469157
Trifolium_dubium,1,0.23,1,0.005914542,0.2,0.061591676
Trifolium_fragiferum,2,0.06,0.5,0.004556192,0.4,0.009805324
Trifolium_medium,1,0.06,0.833333333,0.011559675,0.2,0.009981476
Trifolium_montanum,1,0.06,0.833333333,0.013559401,0.2,0.009993968
Trifolium_montanum_montanum,1,0.06,0.833333333,0.013559401,0.2,0.019702342
Trifolium_ochroleucon,3,0.06,0.833333333,0.012211624,0.6,0.009767592
Trifolium_pallescens,1,0.06,0.333333333,0.002045563,0.2,0.009778831
Trifolium_patens,1,0.23,0.166666667,0.012211624,0.2,0.009805324
Trifolium_pratense,1,0.06,0.833333333,0.020287917,0.2,0.071278422
Trifolium_pratense_nivale,1,0.06,0.833333333,0.020287917,0.2,0.019702342
Trifolium_repens,1,0.06,1,0.004556192,0.2,0.099773559
Trifolium_repens_repens,1,0.06,1,0.004556192,0.2,0.019702342
Trifolium_rubens,2,0.06,0.333333333,0.020287917,0.4,0.009891938
Trifolium_saxatile,3,0.23,0.333333333,0.000846225,0.6,0.009778831
Trifolium_scabrum,4,0.23,0.833333333,0.002665945,0.8,0.009805324
Trifolium_spadiceum,3,0.08,1,0.006403288,0.6,0.009778831
Trifolium_striatum,3,0.23,1,0.004140178,0.6,0.009778831
Trifolium_thalii,1,0.06,0.833333333,0.00037319,0.2,0.009778831
Triglochin_palustris,1,0.06,0.333333333,0.007973837,0.2,0
Trigonella_monspeliaca,3,0.23,0.166666667,0.023586988,0.6,0.005734075
Trinia_glauca,1,0.08,0.333333333,0.009695175,0,0.030443271
Tripleurospermum_inodorum,1,0.06,1,0.022746245,0.2,0.037809671
Trisetum_distichophyllum,1,0.08,0.333333333,0.001504938,0.2,0.072145923
Trisetum_flavescens,1,0.06,0.333333333,0.032504675,0.2,0.072145923
Trisetum_flavescens_flavescens,1,0.06,0.333333333,0.032504675,0,0.072145923
Trisetum_spicatum,1,0.06,0.01,0.001264931,0.2,0.072145923
Trochiscanthes_nodiflora,3,0.06,0.166666667,0.094307331,0.6,0.001623391
Trollius_europaeus,1,0.06,1,0.01642195,0.2,0.17165879
Tulipa_sylvestris,3,0.08,0.01,0.010922753,0.6,0.042081647
Tulipa_sylvestris_australis,3,0.08,0.01,0.010922753,0.6,0.042081647
Turritis_glabra,1,0.08,0.166666667,0.05126911,0.2,0.003027051
Tussilago_farfara,1,0.08,0.666666667,0.00300561,0.2,0.015908523
Typha_angustifolia,2,0.08,0.666666667,0.152732002,0.4,0.074900794
Typha_latifolia,1,0.08,0.666666667,0.152732002,0.2,0.142857143
Typha_shuttleworthii,4,0.08,0.666666667,0.104620913,0.8,0.142857143
Ulmus_glabra,1,0.015,0.5,0.906062487,0.2,0.112544193
Ulmus_laevis,4,0.015,0.5,0.873690278,0.8,0.002149623
Ulmus_minor,1,0.015,0.5,0.873690278,0.2,0.003674872
Urtica_dioica,1,0.06,1,0.083839128,0.2,0.034584719
Urtica_urens,3,0.23,0.833333333,0.007973837,0.6,0.145277449
Utricularia_australis,2,0.099,1,0.083839128,0.4,0.023562298
Utricularia_intermedia,5,0.05,0.833333333,0.005443613,1,0.023562298
Utricularia_minor,3,0.05,0.01,0.005443613,0.6,0.023562298
Utricularia_vulgaris,4,0.099,0.833333333,0.073282129,0.8,0.023562298
Vaccaria_hispanica,5,0.23,0.166666667,0.02529863,1,0.045715669
Vaccinium_gaultherioides,1,0.015,0.833333333,0.013473756,0.2,0.056939131
Vaccinium_microcarpum,3,0.015,0.833333333,0.001331281,0.6,0.029258485
